,leagueID,season,homeTeamID,awayTeamID,home_shots_h_rolling5,home_shotsOnTarget_h_rolling5,home_shots_a_rolling5,home_shotsOnTarget_a_rolling5,home_fouls_h_rolling5,home_fouls_a_rolling5,home_ppda_h_rolling5,home_ppda_a_rolling5,home_deep_h_rolling5,home_corners_h_rolling5,home_total_key_passes_h_rolling5,home_total_assists_a_rolling5,away_shotsOnTarget_h_rolling5,away_fouls_h_rolling5,away_fouls_a_rolling5,away_ppda_h_rolling5,away_deep_h_rolling5,away_deep_a_rolling5,away_total_key_passes_h_rolling5,away_total_key_passes_a_rolling5,away_total_saved_shots_h_rolling5,away_total_saved_shots_a_rolling5,result
7377,2.0,2018.0,98.0,96.0,13.2,5.2,11.8,3.2,10.4,10.4,11.168679999999998,16.15776,7.6,4.6,9.8,0.4,4.4,7.8,11.4,12.71408,8.2,4.4,9.6,9.4,2.6,2.8,2.0
8138,5.0,2018.0,166.0,178.0,14.0,5.6,15.4,7.2,9.6,7.4,15.34812,11.200860000000004,5.8,5.2,11.2,1.2,6.8,8.0,9.6,8.588779999999996,7.4,4.4,15.8,6.0,3.8,1.4,1.0
8833,4.0,2018.0,138.0,153.0,14.2,5.2,11.2,3.6,11.4,10.4,12.540700000000001,14.999460000000003,7.6,3.4,9.8,1.2,5.0,10.8,14.2,6.407799999999997,8.4,3.0,11.8,6.4,1.6,1.6,2.0
7762,3.0,2018.0,120.0,133.0,11.8,2.8,10.8,2.6,9.8,13.4,10.47434,9.427120000000002,4.4,4.4,8.0,0.4,5.2,10.6,10.0,13.850179999999998,3.8,5.0,11.0,9.4,2.2,3.0,2.0
7379,1.0,2018.0,87.0,220.0,14.25,6.25,14.25,7.0,7.25,14.25,10.733724999999998,10.201475000000004,8.0,5.0,11.0,0.75,6.666666666666667,11.0,10.666666666666666,6.717399999999994,6.333333333333333,6.666666666666667,12.0,10.0,2.3333333333333335,2.3333333333333335,2.0
8133,4.0,2018.0,148.0,152.0,12.0,4.8,11.8,4.6,9.2,8.2,14.88576,10.60476,4.8,3.6,7.6,1.0,6.4,12.0,12.0,12.518479999999997,6.2,5.8,9.6,6.4,2.6,2.6,2.0
8497,4.0,2018.0,141.0,232.0,15.4,6.6,13.2,5.0,10.2,13.8,10.399360000000001,9.931560000000001,5.6,3.8,12.2,1.8,5.8,7.4,15.4,10.529379999999998,9.6,3.6,15.2,5.8,4.0,1.8,1.0
8832,2.0,2018.0,111.0,96.0,12.2,2.6,10.4,5.0,9.4,9.6,15.528880000000001,10.30228,4.6,5.0,9.2,1.2,3.8,9.0,11.8,11.965619999999998,5.6,3.0,9.4,8.6,1.6,2.0,2.0
8830,5.0,2018.0,225.0,169.0,17.4,4.8,9.2,3.2,10.8,10.8,13.188339999999997,11.399080000000003,4.2,3.8,13.2,0.4,5.4,15.0,13.2,11.898399999999995,7.2,3.2,13.2,8.0,2.0,2.0,1.0
8829,5.0,2018.0,165.0,167.0,17.2,4.8,11.6,3.2,12.4,11.0,7.512019999999998,12.333720000000003,9.2,5.4,13.2,0.4,3.8,14.0,9.4,9.045139999999996,7.2,3.6,9.0,8.0,3.0,2.0,0.0
8836,3.0,2018.0,120.0,122.0,11.8,4.4,12.0,4.2,9.2,10.2,10.254839999999998,7.7340000000000035,3.6,3.6,8.0,1.2,2.8,9.2,9.6,16.543619999999997,3.2,2.6,6.8,7.2,2.6,1.6,2.0
7755,1.0,2018.0,90.0,219.0,14.8,5.8,10.2,4.2,10.8,14.2,9.572519999999999,16.70876,1.4,5.0,11.0,1.0,5.2,12.4,10.0,9.864339999999999,6.4,6.8,11.8,9.8,2.8,2.8,2.0
8137,5.0,2018.0,171.0,169.0,14.8,6.2,13.8,5.6,7.4,8.2,10.376699999999998,10.813240000000004,6.4,5.4,11.8,0.6,9.0,6.0,9.4,9.838779999999996,5.0,4.2,19.2,5.6,3.8,1.6,0.0
8142,5.0,2018.0,225.0,170.0,12.2,4.8,13.0,3.4,9.6,11.2,13.97406,8.632040000000002,6.8,4.0,9.0,1.0,3.6,11.8,9.4,10.829439999999995,6.0,3.4,8.0,8.8,2.4,1.0,2.0
7756,1.0,2018.0,74.0,86.0,16.6,5.4,9.6,3.4,13.8,15.2,7.235959999999999,16.597040000000003,2.2,4.4,12.2,0.8,5.0,13.4,9.8,10.262359999999997,4.2,7.2,10.4,10.2,2.6,3.2,1.0
7380,3.0,2018.0,130.0,119.0,15.0,6.0,12.8,3.6,6.4,13.0,9.31656,8.997420000000002,4.6,5.4,10.0,0.6,4.6,10.8,7.4,12.169859999999996,5.2,4.6,11.0,9.2,2.6,1.4,2.0
8503,3.0,2018.0,130.0,131.0,11.6,4.2,13.6,3.2,7.4,10.0,11.19188,12.095440000000002,5.6,5.6,9.2,0.2,5.2,12.4,12.6,11.531999999999996,4.2,4.6,9.0,7.8,2.0,2.0,0.0
7753,1.0,2018.0,87.0,227.0,13.0,3.6,12.6,3.8,8.6,9.6,13.758959999999998,12.297520000000002,4.0,3.2,9.0,1.6,5.2,10.6,11.0,7.951439999999996,4.8,4.4,11.2,7.8,2.6,2.4,2.0
7758,4.0,2018.0,147.0,146.0,12.6,3.6,14.4,3.8,10.2,14.8,10.64368,9.17748,3.6,3.8,7.4,0.2,4.4,11.6,12.0,8.816379999999999,7.0,2.2,10.0,8.4,3.0,1.2,1.0
8831,5.0,2018.0,171.0,177.0,12.0,4.0,12.2,3.2,8.4,8.2,8.10616,8.933680000000003,7.6,5.0,8.2,0.2,2.6,7.2,12.4,8.113599999999996,7.6,1.8,8.6,8.0,1.8,3.0,1.0
7757,1.0,2018.0,220.0,229.0,13.6,4.4,11.2,4.4,10.0,14.2,11.6329,13.534300000000002,3.0,4.0,9.6,1.4,4.0,11.4,11.6,8.079319999999997,6.0,6.4,10.2,9.4,3.0,2.4,2.0
7381,5.0,2018.0,170.0,181.0,13.8,4.2,18.2,6.2,11.0,10.2,9.508219999999998,12.672320000000003,4.6,3.0,9.2,1.4,6.0,9.4,12.4,8.258119999999995,2.8,4.4,11.4,11.4,2.4,3.0,0.0
8498,4.0,2018.0,142.0,145.0,15.4,6.4,12.0,4.4,10.6,14.4,10.14418,10.785400000000001,4.6,4.6,12.0,1.4,5.6,9.8,15.0,8.214719999999996,10.6,4.6,16.0,6.0,3.2,2.0,2.0
8140,5.0,2018.0,177.0,165.0,14.2,5.4,13.2,4.2,9.8,9.4,15.314420000000002,8.040340000000004,5.2,6.0,10.8,1.4,4.8,7.8,9.6,6.900299999999996,7.2,2.4,14.6,6.6,2.8,1.8,1.0
8835,2.0,2018.0,113.0,116.0,13.8,3.4,10.0,2.4,10.2,10.0,10.38636,12.105279999999999,4.0,6.4,10.8,0.2,3.2,12.6,10.8,10.263559999999998,4.8,2.4,7.8,9.2,2.0,2.8,1.0
8834,4.0,2018.0,231.0,142.0,15.0,4.4,12.0,5.0,10.4,11.2,12.10226,15.06802,7.2,3.0,11.2,1.2,5.2,10.2,15.2,7.618999999999997,7.2,1.4,13.2,5.4,1.8,1.2,1.0
7382,5.0,2018.0,174.0,235.0,14.4,4.0,15.6,5.4,10.8,12.6,10.27488,11.926600000000002,3.8,3.4,9.6,1.2,5.0,6.4,12.0,8.654759999999994,2.0,4.6,12.8,8.6,1.8,2.2,2.0
8500,2.0,2018.0,113.0,107.0,16.2,6.4,12.4,7.4,6.8,9.0,9.91516,14.322120000000002,6.2,3.0,13.4,0.8,6.2,9.8,10.0,10.498199999999997,6.0,3.2,12.6,10.4,3.6,2.4,2.0
7759,5.0,2018.0,167.0,178.0,12.8,5.6,10.6,3.2,5.2,8.2,9.3978,12.355980000000004,5.6,3.2,10.6,1.0,4.8,10.4,8.0,11.995799999999997,4.8,3.6,9.4,10.2,3.2,2.2,0.0
8139,5.0,2018.0,161.0,168.0,14.0,5.6,13.2,5.6,9.2,7.8,15.462039999999998,10.256420000000004,6.0,6.0,11.2,1.2,5.8,8.2,12.2,6.788779999999996,8.0,3.4,16.0,6.0,3.6,1.6,2.0
8135,3.0,2018.0,132.0,117.0,19.0,5.4,8.2,1.6,10.2,12.8,6.903099999999998,11.386720000000004,6.8,2.2,14.8,0.2,4.0,12.6,13.2,8.470099999999997,5.4,4.4,9.4,7.6,1.4,3.6,0.0
7760,2.0,2018.0,108.0,98.0,11.6,3.2,11.0,5.0,13.2,12.2,11.66118,11.891,7.6,4.4,9.0,1.2,4.4,13.0,14.6,10.468939999999996,7.6,1.4,11.4,5.6,3.4,1.6,0.0
8136,5.0,2018.0,160.0,174.0,16.4,5.2,13.8,5.4,7.4,8.4,10.288459999999999,13.551020000000005,7.2,4.8,12.4,0.6,8.4,8.8,8.0,10.847159999999997,3.4,3.6,18.6,7.2,3.4,1.4,0.0
8838,2.0,2018.0,110.0,97.0,11.6,3.2,14.8,5.8,7.4,8.6,16.58538,11.29612,4.2,5.2,9.0,1.2,4.2,12.0,10.2,9.841499999999998,6.0,4.2,8.4,7.6,1.8,2.4,1.0
8509,1.0,2018.0,75.0,78.0,14.2,4.8,9.0,3.4,7.6,9.0,8.988059999999997,19.029040000000002,4.8,4.0,10.8,0.4,5.6,12.2,16.2,9.759119999999998,3.8,2.4,9.4,11.6,3.6,2.0,0.0
8841,2.0,2018.0,102.0,101.0,12.0,2.8,11.2,4.0,10.6,10.6,11.9523,9.3233,4.0,4.8,8.4,0.6,2.6,8.8,10.4,13.807399999999998,3.8,3.0,8.8,8.6,1.6,2.4,2.0
8150,4.0,2018.0,159.0,138.0,14.6,4.6,8.2,2.8,11.0,10.8,13.01136,13.144540000000001,3.8,3.6,11.0,0.4,5.2,10.4,13.6,10.650979999999997,6.2,3.2,9.0,8.2,2.2,1.6,1.0
8152,3.0,2018.0,120.0,125.0,14.2,6.0,10.8,3.4,6.4,8.4,10.787379999999999,16.98346,6.4,5.4,10.0,1.0,3.8,14.2,10.8,9.398999999999997,5.4,4.0,6.4,10.4,2.6,2.2,1.0
7383,5.0,2018.0,166.0,175.0,14.6,3.4,13.4,4.8,10.4,12.8,10.913759999999998,10.287720000000004,4.4,3.6,9.8,1.2,5.0,5.8,10.0,9.283619999999996,4.4,3.2,12.4,7.8,1.8,2.0,1.0
7769,5.0,2018.0,224.0,168.0,13.0,6.0,10.8,4.0,7.6,10.8,10.968839999999998,12.128560000000004,6.0,3.6,11.0,1.2,4.8,9.2,8.2,10.977819999999996,5.0,3.2,9.2,9.0,3.2,1.6,0.0
8513,5.0,2018.0,169.0,167.0,12.8,4.0,11.2,5.4,14.2,13.2,9.428339999999997,8.974780000000003,2.2,5.0,8.6,1.8,4.6,13.4,11.2,12.980659999999995,4.6,3.4,10.4,8.4,3.0,1.8,2.0
8512,5.0,2018.0,224.0,170.0,13.6,5.4,11.2,4.0,12.4,13.8,7.573619999999998,8.986620000000002,3.6,5.8,9.8,2.0,3.4,9.4,12.0,12.299379999999996,4.8,3.6,10.6,11.2,3.0,2.6,2.0
8508,5.0,2018.0,161.0,235.0,14.0,5.0,9.8,4.0,13.6,10.8,9.756719999999998,11.530380000000003,3.2,3.6,9.4,0.6,5.6,13.2,12.4,13.982499999999996,5.0,3.4,8.0,6.0,1.4,2.4,2.0
