,leagueID,season,homeTeamID,awayTeamID,xGoals_h,shots_h,shotsOnTarget_h,deep_h,ppda_h,corners_h,total_xAssists_h,total_key_passes_h,total_xGoalsChain_h,total_blocked_shots_h,total_saved_shots_h,xGoals_a,shots_a,shotsOnTarget_a,deep_a,ppda_a,corners_a,total_xAssists_a,total_key_passes_a,total_xGoalsChain_a,total_blocked_shots_a,total_saved_shots_a,game_month,game_day,redCards_h_cat,redCards_a_cat,ownGoals_h_cat,ownGoals_a_cat,yellowCards_h_cat,yellowCards_a_cat,total_assists_h_cat,total_assists_a_cat,result
25,1.0,2015.0,81.0,73.0,1.50203,10.0,4.0,3.0,9.9091,5.0,0.418234223,7.0,1.23997055,3.0,1.0,0.0,15.0,7.0,7.0,10.7222,4.0,1.557145007,11.0,6.244986296,2.0,3.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
26,1.0,2015.0,76.0,80.0,1.42622,15.0,6.0,4.0,14.8235,8.0,0.474529263,12.0,1.503711273,3.0,4.0,2.02778,15.0,5.0,8.0,17.5,7.0,1.346807301,13.0,7.018692963,3.0,2.0,8.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0
27,1.0,2015.0,72.0,88.0,0.579338,10.0,1.0,3.0,19.25,8.0,0.376532111,8.0,1.819015779,4.0,1.0,1.57983,16.0,9.0,9.0,9.36,7.0,0.970858362,13.0,4.106896743,4.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
28,1.0,2015.0,90.0,74.0,1.17588,13.0,0.0,2.0,9.0455,5.0,0.456527663,10.0,1.275500657,0.0,0.0,0.68359,14.0,5.0,2.0,7.4074,2.0,0.660715449,12.0,1.917066757,0.0,5.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
29,1.0,2015.0,83.0,87.0,1.83755,19.0,5.0,0.0,5.6154,7.0,1.72584885,15.0,6.951557726,5.0,5.0,1.29206,15.0,8.0,9.0,10.4286,0.0,1.179662226,12.0,3.658759296,3.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0
30,1.0,2015.0,86.0,83.0,0.0,1.0,0.0,0.0,21.8235,0.0,0.031969402,1.0,0.127877608,0.0,0.0,0.0,22.0,9.0,0.0,5.5357,0.0,1.59428741,16.0,6.756244093,0.0,0.0,8.0,29.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
31,1.0,2015.0,85.0,76.0,1.21771,13.0,5.0,2.0,23.8889,6.0,0.217341065,8.0,1.811616397,4.0,4.0,0.881194,15.0,5.0,8.0,8.9677,5.0,0.604046639,10.0,3.526792888,4.0,4.0,8.0,29.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
32,1.0,2015.0,71.0,77.0,2.27406,21.0,6.0,12.0,8.6364,5.0,1.385496393,18.0,7.512095064,4.0,4.0,0.368848,7.0,3.0,3.0,7.35,4.0,0.281565588,6.0,0.546548624,1.0,1.0,8.0,29.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
33,1.0,2015.0,73.0,75.0,1.23807,5.0,2.0,4.0,7.05,4.0,0.038624756,2.0,0.302417107,3.0,1.0,0.919097,4.0,2.0,6.0,5.1667,4.0,0.157928191,3.0,0.549891569,0.0,1.0,8.0,29.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0
34,1.0,2015.0,80.0,78.0,1.27906,26.0,9.0,10.0,8.2,7.0,0.88358503,19.0,4.138263445,0.0,0.0,0.694692,13.0,5.0,8.0,18.5,7.0,1.656932404,10.0,6.184629869,2.0,3.0,8.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
35,1.0,2015.0,87.0,81.0,0.561737,13.0,1.0,12.0,5.9655,5.0,0.549290323,12.0,2.173228363,5.0,1.0,0.97217,12.0,5.0,1.0,12.0909,7.0,0.672859088,6.0,2.269609328,3.0,2.0,8.0,29.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0
36,1.0,2015.0,88.0,90.0,1.52895,18.0,5.0,9.0,10.1429,9.0,1.357413186,15.0,7.149584092,6.0,4.0,0.363603,7.0,0.0,1.0,20.4444,3.0,0.116429658,4.0,0.651466077,5.0,0.0,8.0,29.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0
37,1.0,2015.0,82.0,72.0,1.99917,20.0,6.0,11.0,7.4375,6.0,1.853874173,18.0,6.075894132,6.0,0.0,0.694692,8.0,3.0,6.0,18.5385,2.0,0.592278887,6.0,3.158388942,1.0,3.0,8.0,29.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0
38,1.0,2015.0,74.0,79.0,0.0,23.0,8.0,2.0,10.3333,6.0,2.079340238,18.0,11.09606069,2.0,5.0,0.639434,6.0,1.0,2.0,25.5833,4.0,0.582291665,5.0,1.815697025,2.0,1.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
39,1.0,2015.0,84.0,89.0,0.971183,9.0,4.0,3.0,15.1739,0.0,0.929418698,7.0,2.750206277,1.0,2.0,1.28089,11.0,4.0,9.0,6.8966,0.0,1.2330986,10.0,5.273166403,1.0,3.0,8.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0
40,1.0,2015.0,72.0,80.0,1.18026,14.0,9.0,4.0,15.0476,7.0,1.091879275,11.0,6.818895206,0.0,0.0,0.656048,15.0,2.0,7.0,7.6154,0.0,0.583956625,13.0,1.022726638,0.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0
41,1.0,2015.0,83.0,85.0,0.0,29.0,12.0,0.0,6.76,0.0,3.389770558,24.0,13.04950134,0.0,0.0,0.191277,8.0,3.0,2.0,15.9048,0.0,0.121359813,6.0,0.582862195,3.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
42,1.0,2015.0,78.0,88.0,0.743193,10.0,2.0,2.0,8.625,4.0,0.697715856,7.0,3.389033034,2.0,2.0,0.0,21.0,7.0,8.0,8.5833,4.0,1.722414881,17.0,6.146201754,5.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
